gene,disease,pubmed_id,year
RET,germline mutations,9497878,1997
CYP21A2,gestational age,17047018,2006
MBL2,gestational diabetes,15472209,2004
INSR,gestational diabetes mellitus,2574127,1989
IGF2,gestational diabetes mellitus,2574127,1989
IL4,giant cell arteritis,15570643,2004
HLA-DRB1,giant cell arteritis,15570643,2004
FCGR3A,giant cell arteritis,16846526,2006
VEGFA,giant cell arteritis,16142870,2005
IL10,giant cell arteritis,17552041,2007
NOS3,giant cell arteritis,14613286,2003
HLA-DRB1,giant cell arteritis,16846526,2006
HLA-DRB1,giant cell arteritis,12375325,2002
FCGR2A,giant cell arteritis,16846526,2006
NOS3,giant cell arteritis.,14613286,2003
UGT1A1,gilbert syndrome,12480553,2003
UGT1A6,gilbert syndrome,12480553,2003
UGT1A1,gilberts syndrome,11764096,2001
IL1B,gingival bleeding gingivitis,17492470,2007
IL1A,gingival bleeding gingivitis,17492470,2007
GJB2,gjb2 mutations--phenotypic spectrum and frequencies of gjb2 mutations,12189487,2002
ITGB3,glanzmann thrombasthenia,15219201,2004
OPTN,glaucoma,16885925,2006
CYP1B1,glaucoma,16384942,2006
OPTN,glaucoma,16988596,2006
CYP1B1,glaucoma,12372064,2002
OPA1,glaucoma,17188046,2007
APOE,glaucoma,12379839,2002
OPA1,glaucoma,11810296,2002
CYP1B1,glaucoma,15037581,2004
OPA1,glaucoma,12073024,2002
OPA1,glaucoma,11810296,2002
OPTN,glaucoma,12811537,2003
MYOC,glaucoma,12872267,2003
MYOC,glaucoma,12868033,2003
MYOC,glaucoma,12411077,2002
MYOC,glaucoma,11979979,2002
MYOC,glaucoma,15733270,2005
MYOC,glaucoma,12362081,2002
MYOC,glaucoma,12126543,2002
EDNRA,glaucoma normal tension,16971893,2006
OPA1,glaucoma normal tension,14551537,2003
OPA1,glaucoma normal tension,15534475,2004
CYP1B1,glaucoma primary congenital,15475877,2004
MYOC,glaucoma primary open-angle,17417611,2007
CYP1B1,glaucoma primary open-angle,16319821,2005
MYOC,glaucoma primary open-angle,17562996,2007
APOE,glaucoma primary open-angle,16148883,2005
MYOC,glaucoma primary open-angle,17563717,2007
GSTM1,glaucoma primary open-angle,11040079,2000
MYOC,glaucoma primary open-angle,17605937,2007
MYOC,glaucoma primary open-angle,11595024,2001
OLFM2,glaucoma primary open-angle,17122126,2006
MYOC,glaucoma primary open-angle,14767915,2004
CYP1B1,glaucoma primary open-angle,17563717,2007
OPTN,glaucoma primary open-angle,16148883,2005
PON1,glaucoma primary open-angle,16411107,2006
IGF2,glaucoma primary open-angle,14614750,2003
MMP9,glaucoma primary open-angle,17110919,2006
MYOC,glaucoma primary open-angle,15161538,2004
OPTN,glaucoma primary open-angle,17563717,2007
TAP1,glaucoma primary open-angle,15887980,2004
OPTN,glaucoma primary open-angle,17122126,2006
MYOC,glaucoma primary open-angle,16148883,2005
OPTC,glaucoma primary open-angle,17359525,2007
CYP1B1,glaucoma primary open-angle,16688110,2006
OPTN,glaucoma primary open-angle,16681888,2006
CYP1B1,glaucoma primary open-angle ocular hypertension,16862072,2006
CYP2C9,glibenclamide pharmacokinetics lornoxicam pharmacokinetics,16342679,2005
CYP2C19,gliclazide pharmacokinetics,17298483,2007
EGFR,glioblastoma multiforme,9217972,1997
PARP1,glomerulonephritis,17385326,2007
CD14,glomerulonephritis,12566518,2003
CFH,glomerulonephritis,16299065,2005
HLA-DQB1,glomerulonephritis hepatitis b virus-associated,14617034,2003
FCGR2A,glomerulopathy lupus nephritis,16511922,2006
PON1,glomerulosclerosis focal,11096050,2000
WT1,glomerulosclerosis focal,15687485,2005
WIT1,glomerulosclerosis focal,15687485,2005
MC2R,glucocorticoid deficiency,8227361,1993
INS,glucose,15956217,2005
CCL2,glucose insulin,17490777,2007
PPARD,glucose insulin,16306381,2005
ARHGEF12,glucose insulin,16644711,2006
FHL1,glucose insulin,17589823,2007
ENPP1,glucose insulin obesity,16968801,2006
INSR,glucose intolerance,1676686,1991
CAPN10,glucose metabolism,11935160,2002
PON1,glucose response,11889198,2002
KCNJ11,glucose tolerance,15842514,2005
NEUROG3,glucose tolerance,15277395,2004
NEUROD1,glucose tolerance,15277395,2004
MT-ND2,glucose tolerance,16271520,2005
TCF1,glucose tolerance,15277395,2004
ADIPOQ,glucose tolerance hyperglycemia,16788799,2006
UTS2,glucose tolerance insulin,16597476,2006
MC3R,glucose tolerance insulin,17192297,2006
UTS2R,glucose tolerance insulin,16597476,2006
FABP2,glucose tolerance insulin lipemia lipid oxidation,17209184,2007
FABP2,glucose tolerance triglycerides,17512303,2007
HLA-DQB1,glutamic acid decarboxylase antibodies,12507826,2003
AGL,glycogen storage disease,8755644,1996
AGL,glycogen storage disease type iii,8702417,1996
CYP3A4,glycoprotein iib/iiia receptor activation platelet aggregation,16645157,2006
APOE,gout,12626798,2003
SLC22A12,gout,16837472,2006
GNB3,grade ii hypertension,14557282,2003
PAFAH1B1,graft occlusion atherosclerotic,12110797,2002
IL6,graft versus host disease,16243534,2005
IFNG,graft-versus-host disease,12420205,2002
TNF,graft-versus-host disease,12513816,2002
IFNG,graft-versus-host disease,15235581,2004
TLR4,graft-versus-host disease,11529488,2001
IL2,graft-versus-host disease,14688528,2003
HLA-E,graft-versus-host disease,17164714,2006
IFNG,graft-versus-host disease,15749687,2005
NOD2,graft-versus-host disease,16436969,2006
HLA-DPB1,graft-versus-host disease,12774051,2003
P2RX7,graft-versus-host disease,17488689,2007
IL1R1,graft-versus-host disease,11380474,2001
IL2,graft-versus-host disease,12826155,2003
HSPA1L,graft-versus-host disease,15818324,2005
HLA-A,graft-versus-host disease,15009808,2004
TGFBI,granular corneal dystrophy,10865320,2000
ICAM1,graves disease,14557478,2003
HLA-DRB1,graves disease,6896102,1982
CTLA4,graves disease,11726229,2001
VDR,graves disease,11134121,2000
CTLA4,graves disease,15785242,2005
TAP2,graves disease,12485523,2002
CTLA4,graves disease,15640608,2005
HLA,graves disease,10770195,2000
CTLA4,graves disease,12724780,2003
TAP1,graves disease,15711027,2004
HLA-DQB1,graves disease,15640608,2005
THRB,graves disease,8748133,1995
CTLA4,graves disease,16081581,2005
BTNL2,graves disease,16984233,2006
CYP2D6,graves disease,9231050,1997
TSHR,graves disease,15741259,2005
CD40,graves disease,16127217,2005
TAP1,graves disease,12485523,2002
IFNG,graves disease,9848715,1998
PSMB9,graves disease,10468973,1999
ICAM1,graves disease,14557478,2003
HLA,graves disease,11272094,2001
CD40,graves disease,16279844,2005
HLA-B,graves disease,2567295,1989
CTLA4,graves disease,12780750,2003
HLA-DRB1,graves disease,15640608,2005
CTLA4,graves disease,9459626,1997
SELL,graves disease,17465998,2007
CTLA4,graves disease,15182328,2004
PTPN22,graves disease,17148556,2006
IL13,graves disease,15483090,2004
CTLA4,graves disease,17426089,2007
CTLA4,graves disease,14715845,2004
TNF,graves disease,17348243,2006
IL1RN,graves disease,7530255,1995
HLA-DQA1,graves disease,16451208,2006
CTLA4,graves disease,7829637,1995
HLA-DQB1,graves disease,16451208,2006
CTLA4,graves disease,14567561,2003
FCRL3,graves disease,16384851,2005
IL13,graves disease,10719301,2000
PDCD1,graves disease,17490403,2007
IL4,graves disease,10843185,2000
HLA-DRB1,graves disease,16451208,2006
HLA-DQA1,graves disease,8501164,1993
IL2RA,graves disease,17371467,2007
CTLA4,graves disease,11086105,2000
TG,graves disease,17550957,2007
CTLA4,graves disease,14986169,2004
TAP2,graves disease,16721835,2006
GC,graves disease,12050214,2002
CTLA4,graves disease,16767670,2006
CTLA4,graves disease,15356063,2004
HLA-DQA1,graves disease,11895223,2001
CTLA4,graves disease,11726229,2001
CTLA4,graves disease,12030917,2002
CTLA4,graves disease,12097196,2002
IFNG,graves disease hashimotos thryoiditis,16820703,2006
IFNG,graves disease hashimotos thyroiditis,16970687,2006
IL4R,graves disease ige,17362266,2007
STAT6,graves disease ige,17362266,2007
CD40,graves disease myasthenia gravis,17344890,2007
CTLA4,graves disease ophthalmology,16916658,2006
CTLA4,graves hyperthyroidism,14715845,2004
PTPN12,graves ophthalmology graves disease,17608818,2007
ATP8B1,greenland familial cholestasis,11093741,2000
GHR,grow intrauterine growth,17426087,2007
GHR,growth hormone concentrations insulin-like growth factor,17573420,2007
GHR,growth hormone responsiveness,16291706,2005
GH1,growth hormone secretion and height,10720078,2000
GHR,growth response to growth hormone therapy,17555507,2007
GSTM1,gstm1 methylation infertility male,17277043,2007
MT-ND2,gstm1 methylation infertility male,17277043,2007
FCGR3A,guillain-barre syndrome,15833371,2005
FCGR2A,guillain-barre syndrome,15833371,2005
TNF,gvhd,9808588,1998
IL10,gvhd,9808588,1998
OAT,gyrate atrophy,1301936,1992
Hras,h-ras allele loss,8118795,1994
CTLA4,h-thyroiditis,9398726,1997
IL1A,h. pylori infection,16961803,2006
CYP2C19,h. pylori infection,12534411,2003
MUC6,h. pylori infection,17009402,2006
HLA-DQA1,h. pylori infection,15347442,2004
IL1B,h. pylori infection,16815316,2006
IL8,h. pylori infection,12662377,2003
IFNGR1,h. pylori infection,12516030,2003
CYP2C19,h. pylori infection,12121503,2002
IL10,h. pylori infection,12662377,2003
FUT2,h. pylori infection,15338364,2004
HLA-DQB1,h. pylori infection,15833172,2005
HLA-DQB1,h. pylori infection stomach cancer,16509868,2006
GSTM1,haematological neoplasias,10383893,1999
CYP2D6,haematological neoplasias,10383893,1999
NAT2,haematological neoplasias,10383893,1999
SLC40A1,haemochromatosis,12865285,2003
G6PD,haemoglobinopathies,3699836,1986
G6PD,haemolytic anaemia,9332310,1997
F9,haemophilia,10583536,1999
HLA-B,haemophilia with chronic synovitis,12648975,2003
CCKAR,hallucinations schizophrenia,17413443,2007
CYP2D6,haloperidol plasma,15048614,2004
HBA1,haptoglobin,16760505,2006
HP,haptoglobin,16407342,2006
ACP1,haptoglobin development,15359537,2004
HTR2A,harm avoidance,17487576,2007
CYP2C19,harm avoidance,17357148,2007
SLC6A4,harm avoidance behaviour in an elderly population.,9686420,1998
CTLA4,hashimotos thryoiditis,17020648,2006
GH4,hb d-los angeles [beta 121(gh4)glu-->gln],8095930,1993
CCR5,hcv infection,14647058,2003
PPARG,hdl cholesterol/ bmi,10591673,1999
LIPG,hdl-cholesterol,12884003,2003
PON1,hdl-cholesterol level,12621166,2003
TYMS,head and neck cancer,16617381,2006
XRCC1,head and neck cancer,15252855,2004
SDHB,head and neck cancer,17599579,2007
MMP1,head and neck cancer,15274394,2004
FAS,head and neck cancer,17000697,2006
MMP1,head and neck cancer,15194213,2004
SULT1A1,head and neck cancer,16575574,2006
TYMS,head and neck cancer,15585623,2004
EGFR,head and neck cancer,17538160,2007
TP73,head and neck cancer,15180941,2004
FGFR4,head and neck cancer,17084840,2006
MMP3,head and neck cancer,15274394,2004
CDKN1A,head and neck cancer,15878916,2005
MMP3,head and neck cancer,15102660,2004
GPX1,head and neck cancer,15878749,2005
TNF,head and neck cancer,11602932,2001
ADH1C,head and neck cancer,12376487,2002
MMP1,head and neck cancer,16353148,2005
EPHX1,head and neck cancer,12491039,2003
CDKN1B,head and neck cancer,15217930,2004
ALDH2,head and neck cancer,12376487,2002
POLK,head and neck cancer lung cancer,17494052,2007
POLR2B,head and neck cancer lung cancer,17494052,2007
LIG1,head and neck cancer lung cancer,17494052,2007
RPA1,head and neck cancer lung cancer,17494052,2007
POLG2,head and neck cancer lung cancer,17494052,2007
PMS1,head and neck cancer lung cancer,17494052,2007
MSH3,head and neck cancer lung cancer,17494052,2007
ERCC5,head and neck cancer lung cancer,17494052,2007
RPA3,head and neck cancer lung cancer,17494052,2007
MLH3,head and neck cancer lung cancer,17494052,2007
RAD51,head and neck cancer mutagen sensitivity,17118968,2006
TP53,head and neck squamous cell cancer,11389067,2001
CDH23,hearing loss noise induced,16598924,2006
HSPA2,hearing loss noise-induced,17009596,2006
HSPA1L,hearing loss noise-induced,17009596,2006
HSPA1A,hearing loss noise-induced,17009596,2006
GJB2,hearing loss sensorineural,12851846,2003
OTOF,hearing loss sensorineural,14635104,2003
GJB2,hearing loss sensorineural,14985372,2004
MYO7A,hearing loss sensorineural nonsyndromic,15606003,2004
GJB2,hearing loss sensorineural nonsyndromic,15345117,2004
GJB6,hearing loss sensorineural nonsyndromic,15345117,2004
COL9A3,hearing loss sensorineural nonsyndromic,15917166,2005
GJB2,hearing loss sensorineural nonsyndromic,15547422,2004
GJB2,hearing loss sensorineural nonsyndromic,15547423,2004
GJB2,hearing loss sensorineural nonsyndromic,15932734,2005
ESPN,hearing loss/deafness,15930085,2005
F2,hearing loss/deafness,15109703,2004
SLC26A4,hearing loss/deafness,15679828,2005
GJB2,hearing loss/deafness,15700112,2005
CAT,hearing loss/deafness,17567781,2007
GJB2,hearing loss/deafness,16379178,2005
CFC1,heart anomalies congenital,17072672,2006
SLC19A1,heart anomalies congenital,15769366,2004
CFC1,heart anomalies congenital,17445335,2007
MS,heart anomalies congenital,15205694,2004
PTPN11,heart anomalies congenital,17515436,2007
VEGFA,heart anomalies congenital,16569553,2006
MTHFR,heart anomalies congenital,16792904,2006
TBX1,heart anomalies congenital,16854283,2006
APOA5,heart disease ischemic,15300628,2004
CFH,heart disease ischemic,17483111,2007
HMOX1,heart disease ischemic,15064108,2004
MIF,heart disease ischemic,17029206,2006
GP1BA,heart disease ischemic,11994555,2002
SELE,heart disease ischemic,17578587,2007
RAGE,heart disease ischemic,15896660,2005
PON1,heart disease ischemic,12588779,2003
PON1,heart disease ischemic,16117861,2005
PECAM1,heart disease ischemic,12581968,2003
NOS3,heart disease ischemic,15007011,2004
PCSK9,heart disease ischemic hypercholesterolemia,17142622,2006
SELPLG,heart disease ischemic stroke ischemic,17420019,2007
SELP,heart disease ischemic stroke ischemic,17420019,2007
LEP,heart disease risk factors hypertension leptin obesity,16762576,2006
ADRB1,heart failure,15542284,2004
EDNRA,heart failure,16582543,2006
CD14,heart failure,16137548,2005
CYP11B2,heart failure,16979018,2006
ADRA2C,heart failure,15542284,2004
EDN1,heart failure,16582543,2006
ADRA2C,heart failure,16299019,2005
MMP2,heart failure,14580155,2003
ADRB2,heart failure,15542284,2004
VEGFA,heart failure,15880336,2005
IFNG,heart failure,15189946,2004
ACE,heart failure,17326392,2006
AMPD1,heart failure,15239633,2004
ADRB2,heart failure,17223428,2007
ADRA2C,heart failure,16187973,2005
AGTR1,heart failure,17326392,2006
NOS3,heart period signal,17282736,2005
ADRB3,heart rate,17591269,2007
NOS3,heart rate,17160951,2006
ADRB2,heart rate,17591269,2007
CHRM2,heart rate,16501017,2006
ADRB1,heart rate,17591269,2007
CYP11B2,heart rate,15238568,2004
ADRA2B,heart rate,16907703,2006
AGTR1,heart rate,15238568,2004
ADRB1,heart rate,16907703,2006
ADRB1,heart rate,17270896,2004
SLC5A7,heart rate,15784779,2005
ADRB2,heart rate,16907703,2006
ADRB1,heart rate resting,11854867,2002
ACE,heart rate variability,14675596,2003
ABCB1,heart transplant,17198259,2006
PDGFRA,heart transplant complications,16730575,2006
TGFB1,heart transplant complications,15041164,2004
VEGFA,heart transplant complications,16730575,2006
IL10,heart transplant complications,12909463,2003
TBX5,heart-hand syndrome holt-oram syndrome,10077612,1999
GABRA6,heartburn,17295876,2007
TNFRSF11A,height,17546619,2007
FBN1,height,17024364,2006
TNF,helicobacter pylori caga subtype infection,11533078,2001
FUT2,helicobacter pylori infection,11535550,2001
PGC,helicobacter pylori infection,9391244,1997
IL1B,helicobacter pylori infection,11579484,2001
IL1B,helicobacter pylori infection,11579484,2001
FAS,hellp syndrome,16507928,2006
P2RY12,hematology indices,15514209,2004
IL8,hematology indices,16897191,2006
P2RY1,hematology indices,15514209,2004
IL8RA,hematology indices,16897191,2006
ICAM1,hematology indices,12939654,2003
IL8RB,hematology indices,16897191,2006
CXCL12,hematopoietic progenitor cells mobilization of,11328308,2001
TNF,hematopoietic stem cell transplantation,16699452,2006
IL10,hematopoietic stem cell transplantation,16699452,2006
HFE2,hemochromatosis,15194541,2004
HFE,hemochromatosis,14670915,2003
HFE,hemochromatosis,12537660,2002
HAMP,hemochromatosis,14670915,2003
HFE,hemochromatosis,15654232,2005
VEGFA,hemodialysis,15086939,2004
Hb,hemoglobin knossos and hemoglobin lepore,6469699,1984
Hb,hemoglobin stanleyville ii,1671772,1991
H2,hemolytic disease,10081984,1999
CFH,hemolytic uremic syndrome,14583443,2003
F8,hemophilia,16380445,2005
F8,hemophilia,11057857,2000
SERPINA3,hemorrhage intracerebral,12126519,2002
F13A1,hemorrhage intracerebral,11920201,2000
MTHFR,hemorrhagic and ischemic stroke,12907815,2003
GSTA1,hepatic gsta1/gsta2 expression,11692074,2001
GSTA2,hepatic gsta1/gsta2 expression,11692074,2001
NAT1,hepatitis,11915035,2002
LEC,hepatitis,9615909,1998
IL10,hepatitis a vaccination humoral immune response,15918171,2005
HLA-DRB1,hepatitis autoimmune,15763345,2005
HLA-DRB1,hepatitis autoimmune,15763345,2005
LTA,hepatitis b,15649304,2005
IFNG,hepatitis b,12526950,2003
CCL5,hepatitis b,17063508,2006
IFNG,hepatitis b,15265425,2004
CCR5,hepatitis b,17063508,2006
IL18,hepatitis b,15786533,2005
TGFB1,hepatitis b,17612762,2007
VDR,hepatitis b,17064588,2006
VDR,hepatitis b,16733893,2006
TBX21,hepatitis b,17378728,2007
IFNG,hepatitis b,17033822,2006
HLA-DQA1,hepatitis b,16733891,2006
TNF,hepatitis b,17612762,2007
IL10,hepatitis b,17612762,2007
IFNG,hepatitis b,17612762,2007
IL6,hepatitis b,17612762,2007
IFNA2,hepatitis b,16920161,2006
MX1,hepatitis b,16792864,2006
CCL2,hepatitis b chronic,17202846,2006
IL18,hepatitis b chronic,17610422,2007
HLA-DRB1,hepatitis b chronic,15231205,2004
CTLA4,hepatitis b chronic,16489681,2006
HLA-DRB1,hepatitis b chronic,14562382,2003
IFNAR1,hepatitis b chronic,17125879,2006
HLA-DQA1,hepatitis b chronic,15231205,2004
IL1RN,hepatitis b chronic,14669220,2003
HLA-DQB1,hepatitis b chronic,14562382,2003
HLA-DQA1,hepatitis b chronic,14562382,2003
HLA-DQB1,hepatitis b chronic,15231205,2004
IL1B,hepatitis b chronic,14669220,2003
IFNG,hepatitis b intrauterine,16718821,2006
SPP1,hepatitis b liver cancer,17496055,2007
IGF2,hepatitis b liver cancer,16750516,2006
MPO,hepatitis c,12209361,2002
IL16,hepatitis c,16447204,2006
MX1,hepatitis c,12944978,2003
CTLA4,hepatitis c,17150279,2006
HLA,hepatitis c,9537846,1998
IRF1,hepatitis c,16894313,2006
CCR2,hepatitis c,15086398,2004
EIF2AK2,hepatitis c,12944978,2003
TAP2,hepatitis c,10220507,1999
IL10,hepatitis c,15815689,2005
OAS1,hepatitis c,12944978,2003
LDLR,hepatitis c,12209363,2002
NS5A,hepatitis c,12196819,2002
IL12B,hepatitis c,15871664,2005
IL10,hepatitis c,14698136,2004
CTLA4,hepatitis c,12696006,2003
CCR5,hepatitis c,15863470,2005
CD81,hepatitis c,12209363,2002
ADA,hepatitis c,15063762,2004
IL10,hepatitis c chronic,16425360,2005
CCR5,hepatitis c chronic,14647058,2003
CPT1A,hepatitis c chronic,16697732,2006
CCL2,hepatitis c chronic,14517792,2003
POLG2,hepatitis c chronic,16697732,2006
CCL5,hepatitis c chronic,15192276,2004
DDX5,hepatitis c chronic,16697732,2006
CCL2,hepatitis c chronic,14517792,2003
PON1,hepatitis c chronic,15993873,2005
CCR5,hepatitis c chronic,15192276,2004
MX1,hepatitis c chronic,15117331,2004
CR1,hepatitis c chronic,12869997,2003
IL12B,hepatitis c chronic,15285014,2004
HFE,hepatitis c chronic,14972004,2003
IRF1,hepatitis c chronic,15863386,2005
HLA-A,hepatitis c chronic,15239092,2004
IL6,hepatitis c infection,12938195,2003
HP,hepatitis c virus infection,11564959,2001
TP53,hepatitis c virus infection,11566488,2001
TP53,hepatitis c virus infection,11566488,2001
IFNG,hepatitis e,15932627,2005
HLA-A,hepatitis fulminant non-a nonb,15836703,2005
ABCC2,hepatitis toxic,17502832,2007
HLA-DQB1,hepatitis type 2 autoimmune,17050030,2006
HLA-DRB1,hepatitis type 2 autoimmune,17050030,2006
UGT1A7,hepatocellular carcinoma,11677206,2001
GSTM1,hepatocellular carcinoma,11859714,2001
PTK2,hepatocellular carcinoma,14578863,2003
IL1B,hepatocellular carcinoma,12500190,2003
APC,hepatocellular carcinoma,11466687,2001
MYC,hepatocellular carcinomas,9135021,1997
CYP2C8,hepatotoxicity diclofenac-induced,17241877,2007
ABCC2,hepatotoxicity diclofenac-induced,17241877,2007
UGT2B7,hepatotoxicity diclofenac-induced,17241877,2007
ITPA,hepatotoxicity leukopenia,16431304,2006
TPMT,hepatotoxicity leukopenia,16431304,2006
AR,hereditary and sporadic prostate cancer risk.,11935317,2002
HSD3B1,hereditary and sporadic prostate cancer susceptibility.,11912155,2002
HSD3B2,hereditary and sporadic prostate cancer susceptibility.,11912155,2002
AVP,hereditary dementia.,11141496,2001
ALDOB,hereditary fructose intolerance.,12464284,2002
EPB42,hereditary haemolytic anaemia.,7772513,1995
HFE,hereditary hemochromatosis,12942784,2003
HFE,hereditary hemochromatosis in african americans.,9662273,1998
HFE,hereditary hemochromatosis.,11465544,2001
EPB42,hereditary hemolytic anemia,1558976,1992
PKLR,hereditary hemolytic anemia.,1536957,1992
EPB42,hereditary hemolytic anemia.,7803799,1995
EXT2,hereditary multiple exostoses,10679296,2000
MLH1,hereditary non-polyposis colon cancer.,8145827,1994
PROC,hereditary protein c deficiency,7831652,1994
ankyrin,hereditary spherocytosis,11167760,2000
EPB42,hereditary spherocytosis (protein 4.2notame).,8528207,1995
MPZ,hereditary stomatocytosis.,10399750,1999
F5,hereditary thrombophilia.,9785636,1998
DRD2,heritability of stature,10738526,1999
LIPC,heritable lipolytic deficiency.,1671786,1991
COMT,heroin abuse,12476424,2002
DRD2,heroin abuse,17543096,2007
OPRD1,heroin abuse,9261824,1997
PER3,heroin abuse,17451453,2007
OPRM1,heroin abuse,11338173,2001
OPRM1,heroin abuse,17157823,2006
COMT,heroin abuse,12476424,2002
OPRK1,heroin abuse,17373729,2007
DRD4,heroin abuse,16642357,2006
MAOA,heroin addiction,15088154,2004
OPRM1,heroin dependence,11338173,2001
IL10,herpes zoster,11928840,2002
IL13,herpesvirus kaposi sarcoma-associated,16702372,2006
IL8RB,herpesvirus kaposi sarcoma-associated,16702372,2006
CP,heteroallelic ceruloplasmin gene mutation,11756598,2001
F11,heterozygous factor xi deficiency,10606881,1999
HIF1A,hif-1alpha protein expression,16837101,2006
APOC1,high and low levels of cholesterol,15077570,2004
APOE,high coronary heart disease risk particularly affects ser,11177205,2000
ABCA1,high density lipoprotein cholesterol level,12860256,2003
CTNNB1,high exposure to aflatoxin b1.,11429783,2001
F5,high frequency of factor v leiden mutation.,11056246,2000
GSTM1,high inducibility of cytochrome p450 1a1 gene transcription,7585625,1995
ABCC8,high insulin concentrations in non-diabetic mexican ameri,9799081,1998
IL1A,high interleukin-1 beta plasma levels,10903804,2000
F12,high or low factor xiii specific activity.,9920838,1999
CETP,high plasma cetp activity.,9543093,1998
LIPC,high plasma concentrations of high density lipoprotein ch,9114024,1997
ADRB2,high total ige,9275150,1997
ADRB2,high total ige,9275150,1997
LPL,high triglyceride/ low hdl cholesterol levels,11071388,2000
HSPA1A,high-altitude illness,16333988,2005
NOS3,high-altitude pulmonary edema,17099031,2006
NOS3,high-altitude pulmonary edema.,12176955,2002
CYP11B2,high-altitude tolerance,16893516,2006
HNF1A,high-density lipoprotein cholesterol level.,12788852,2003
FGFR4,high-grade soft tissue sarcoma,14601095,2003
HPV16,high-grade squamous intraepithelial lesions of the cervix,11308254,2001
ACE,higher blood pressure after hospitalization in normotensi,10821127,2000
PPARG,higher body mass index,10805513,2000
PPARG,higher levels of serum leptin,10805513,2000
NAT1,higher n-acetylation activity,7585580,1995
Hb,higher prevalence of multiple infections,9287956,1997
BDNF,hippocampal volume,16442082,2006
EDNRB,hirschsprung disease,9585428,1998
RET,hirschsprungs disease,11955539,2002
EDNRB,hirschsprungs disease,12628594,2003
RET,hirschsprungs disease,11955539,2002
RET,hirschsprungs disease,16555159,2006
PHOX2B,hirschsprungs disease,12631670,2003
PHOX2B,hirschsprungs disease,12631670,2003
RET,hirschsprungs disease,15138456,2004
RET,hirschsprungs disease intestinal neuronal dysplasia,16534860,2006
CAPN10,hirsutism,11872216,2002
SRD5A1,hirsutism polycystic ovary syndrome,16849416,2006
ABCB1,hiv,16284462,2005
FUT2,hiv,16514298,2006
KIR3DL1,hiv,15784466,2005
IL12B,hiv,17148969,2007
CCL2,hiv,15579297,2004
IRF4,hiv,17502719,2007
CCR5,hiv,15236615,2004
IL10RA,hiv,16491350,2006
ABCB1,hiv,15750390,2005
DEFB1,hiv,16572527,2006
IL4,hiv,12700447,2003
IFNGR1,hiv,16491350,2006
CCR5,hiv,14624371,2003
IFNAR1,hiv,17027223,2006
HLA-E,hiv,16362895,2006
CTLA4,hiv,16868438,2006
HLA-A,hiv,12717621,2003
CUL5,hiv,17257057,2007
CD209,hiv,15564514,2004
CXCL12,hiv,16964435,2006
CCR5,hiv,15362666,2004
IL4,hiv,16511411,2006
CCL11,hiv,14571188,2003
IL2RA,hiv,16491350,2006
HLA-G,hiv,15090794,2004
TLR9,hiv,17301562,2007
FCGR2A,hiv,15166534,2004
CCR2,hiv,15769362,2004
IL4R,hiv,15021309,2004
APOBEC3G,hiv,15452227,2004
CCR5,hiv,15769362,2004
CCR2,hiv,15362666,2004
HLA-DQB1,hiv,15096192,2004
SERPINA1,hiv,14551891,2003
CCR5,hiv,12853745,2003
CCL2,hiv,17091019,2006
IL4,hiv,12944981,2003
CCR2,hiv,16903979,2006
CX3CR1,hiv,12646802,2003
CCL5,hiv,16511411,2006
IL10,hiv,12944981,2003
CCL5,hiv,16897666,2006
CX3CR1,hiv,15871132,2005
CCR2,hiv,12853745,2003
CXCL12,hiv,16284526,2005
TAP2,hiv,12717621,2003
HLA-B,hiv,15784466,2005
SERPINA1,hiv,14551891,2003
IL10,hiv,12687247,2002
CCR5,hiv,17148969,2007
IL10,hiv,15021309,2004
CCR2,hiv,11898620,0
CCL5,hiv,14687494,2003
CCR2,hiv,15140377,2004
IL4,hiv,15021309,2004
TNF,hiv disease,9084788,1997
CCR5,hiv disease progression,11709782,2001
CCR2,hiv infection,11694103,2001
CCR5,hiv infection,11504955,2001
CCR2,hiv infection,11596075,2001
CCR5,hiv infection,11485615,2001
CCR5,hiv infection,11596075,2001
CCR5,hiv infection,9764905,1998
CCR5,hiv infection,11694103,2001
CCR2,hiv-1,12853745,2003
CCR5,hiv-1 disease,9662369,1998
CCR5,hiv-1 infection,9382366,1997
HLA,hiv-related disease,1357776,1992
HLA-DQA1,hla-dqa1 differential expression,8995182,1997
BCL2,hodgkins disease,12960134,2003
ATM,hodgkins disease,14735203,2004
GSTT1,hodgkins disease,12960134,2003
HPSE,hodgkins disease leukemia myeloid multiple myeloma myelodysplastic syndrome,17611567,2007
NOS3,homocysteine,15905312,2005
MTR,homocysteine,17522601,2007
MTHFR,homocysteine,15514263,2004
MTHFR,homocysteine,17522601,2007
MTHFR,homocysteine,11684547,2001
MTR,homocysteine,11684547,2001
CBS,homocysteine,16791140,2006
ESR2,homocysteine nitric oxide,16766435,2006
MTR,homocysteine rheumatoid arthritis rheumatoid nodulosis,17611986,2007
NOS3,homocystinuria,14999203,2004
GNMT,homocyteine,16317120,2005
DBH,hormone disturbance,15102340,2004
CYP11B2,hormone disturbance,15272911,2004
SHBG,hormone disturbance,15199113,2004
HTR3A,hormone disturbance,15102340,2004
PGR,hormone disturbance,15272917,2004
DIO2,hormone disturbance,15727947,2005
THRB,hormone disturbance,12788902,2003
CALCR,hormone disturbance,15279076,2004
COMT,hormone disturbance,15199113,2004
